Acro	Name	Status	AddressLine1	AddressLine2	AddressLine3	City	County	State	Zip	Region	Country	CBSA	Longitude	Latitude	Open/Acq Date	Metro	BU	TimeZone Code
WPF	W Paces Ferry	open	77 West Paces Ferry Rd NW			West Paces Ferry	Fulton	GA	30305	South	USA	"Atlanta-Sandy Springs et al, GA"	-84.381148	33.840841	9/28/2005	MET_GA	10206	EST
JKN	Jackson	open	4500 I-55 North			Jackson	Hinds	MS	39211	South	USA	"Jackson, MS"	-90.149828	32.354698	2/4/2014	MET_MS	10486	CST
APK	Charlotte	open	6610 Fairview Road			Charlotte	Mecklenburg	NC	28210	South	USA	"Charlotte-Gastonia et al, NC-SC"	-80.828946	35.147135	8/29/2012	MET_NC	10443	EST
ASH	Asheville	open	70 Merrimon Avenue			Asheville	Buncombe	NC	28801	South	USA	"Asheville, NC"	-82.554169	35.601778	5/24/2010	MET_NC	10351	EST
CAR	Cary	open	102B New Waverly Place			Cary	Wake	NC	27518	South	USA	"Raleigh-Cary, NC"	-78.777234	35.737361	5/11/2000	MET_NC	10132	EST
CHP	Chapel Hill	open	81 South Elliot			Chapel Hill	Orange	NC	27514	South	USA	"Durham, NC"	-79.027569	35.934529	11/1/1991	MET_NC	10008	EST
DRH	Durham	open	621 Broad Street			Durham	Durham	NC	27705	South	USA	"Durham, NC"	-78.920644	36.007046	2/29/1996	MET_NC	10041	EST
GFR	Greensboro	open	3202 West Friendly Avenue			Greensboro	Guilford	NC	27408	South	USA	"Greensboro-High Point, NC"	-79.834028	36.085624	4/12/2012	MET_NC	10426	EST
NRL	North Raleigh	open	8710 Six Forks Rd			Raleigh	Wake	NC	27615	South	USA	"Raleigh-Cary, NC"	-78.648994	35.89811	3/16/2011	MET_NC	10338	EST
RAL	Raleigh	open	3540 Wade Avenue			Raleigh	Wake	NC	27607	South	USA	"Raleigh-Cary, NC"	-78.686355	35.802456	12/3/1992	MET_NC	10016	EST
WIN	Winston-Salem	open	41 Miller Street			Winston-Salem	Forsyth	NC	27104	South	USA	"Winston-Salem, NC"	-80.273806	36.094438	1/12/2000	MET_NC	10110	EST
WOL	Wilmington	open	3804 Oleander Drive			Wilmington	New Hanover	NC	28403	South	USA	"Wilmington, NC"	-77.901573	34.213673	5/23/2012	MET_NC	10453	EST
CHL	Charleston	open	923 Houston Northcutt Blvd			Charleston	Charleston	SC	29464	South	USA	"Charleston-North Charleston, SC"	-79.889113	32.802162	5/19/2004	MET_SC	10201	EST
CRH	Cross Hill	open	702 Cross Hill Rd			Columbia	Richland	SC	29205	South	USA	"Columbia, SC"	-80.975137	33.992611	10/26/2012	MET_SC	10464	EST
WDF	Woodruff	open	1140 Woodruff Road			Greenville	Greenville	SC	29607	South	USA	"Greenville-Mauldin-Easley, SC"	-82.300837	34.825521	4/26/2006	MET_SC	10224	EST
CHT	Chattanooga	open	301 Manufacturer's Road			Chattanooga	Hamilton	TN	37405	South	USA	"Chattanooga, TN-GA"	-85.313948	35.062612	5/24/2010	MET_TN	10409	EST
GHL	Green Hills	open	4021 Hillsboro Pike			Nashville	Davidson	TN	37215	South	USA	"Nashville-Davidson et al, TN"	-86.8185	36.103133	11/1/2007	MET_TN	10241	CST
MCW	McEwen	open	Mallory Lane at McEwen Drive			Franklin	Williamson	TN	37067	South	USA	"Nashville-Davidson et al, TN"	-86.825167	35.934237	5/18/2011	MET_TN	10321	CST
PPL	Poplar Avenue	open	5014 Poplar Ave			Memphis	Shelby	TN	38117	South	USA	"Memphis, TN-MS-AR"	-89.894532	35.113017	1/14/2014	MET_TN	10480	CST
CHR	Chandler	open	2955 West Ray Rd.			Chandler	Maricopa	AZ	85224	Southern Pacific	USA	"Phoenix-Mesa-Scottsdale, AZ"	-111.891175	33.318293	10/26/2007	MET_AZ	10272	MST
CMA	Camelback	open	4701 N. 20th Street			Phoenix	Maricopa	AZ	85016	Southern Pacific	USA	"Phoenix-Mesa-Scottsdale, AZ"	-112.037799	33.506038	9/18/2013	MET_AZ	10476	MST
FLG	Flagstaff	open	320 S. Cambridge Ln.			Flagstaff	Coconino	AZ	86001	Southern Pacific	USA	"Flagstaff, AZ"	-111.640919	35.191834	4/24/2014	MET_AZ	10581	MST
PRE	Prescott	open	1112 Iron Springs Rd.			Prescott	Yavapai	AZ	86305	Southern Pacific	USA	"Prescott, AZ"	-112.483853	34.559583	4/24/2014	MET_AZ	10582	MST
PVA	Paradise Valley	open	10810 N Tatum Blvd			Paradise Valley	Maricopa	AZ	85028	Southern Pacific	USA	"Phoenix-Mesa-Scottsdale, AZ"	-111.979056	33.585046	11/6/2002	MET_AZ	10172	MST
RRD	River Road	open	5555 E River Rd			Tucson	Pima	AZ	85750	Southern Pacific	USA	"Tucson, AZ"	-110.873825	32.274292	1/16/2013	MET_AZ	10475	MST
SCT	Scottsdale	open	7111 E Mayo Blvd			Scottsdale	Maricopa	AZ	85054	Southern Pacific	USA	"Phoenix-Mesa-Scottsdale, AZ"	-111.927193	33.653791	2/27/2008	MET_AZ	10246	MST
SED	Sedona	open	1420 West Hwy. 89A			Sedona	Yavapai	AZ	86336	Southern Pacific	USA	"Prescott, AZ"	-111.784974	34.863536	4/24/2014	MET_AZ	10583	MST
SPE	Speedway	open	3360 E Speedway Blvd			Tucson	Pima	AZ	85716	Southern Pacific	USA	"Tucson, AZ"	-110.921476	32.235584	9/28/2007	MET_AZ	10439	MST
TEM	Tempe	open	5120 S. Rural			Tempe	Maricopa	AZ	85282	Southern Pacific	USA	"Phoenix-Mesa-Scottsdale, AZ"	-111.92984	33.379652	3/4/1998	MET_AZ	10084	MST
ARR	Arroyo	open	465 S Arroyo Pkwy.			Pasadena	Los Angeles	CA	91105	Southern Pacific	USA	"Los Angeles-Long Beach et al, CA"	-118.14776	34.1381	11/7/2007	MET_LA_EAST	10237	PST
BRT	Brentwood	open	11737 San Vicente Blvd			Los Angeles	Los Angeles	CA	90049	Southern Pacific	USA	"Los Angeles-Long Beach et al, CA"	-118.467401	34.053675	10/29/1997	MET_LA_WEST	10074	PST
BVH	Beverly Hills	open	239 North Crescent Dr			Beverly Hills	Los Angeles	CA	90210	Southern Pacific	USA	"Los Angeles-Long Beach et al, CA"	-118.39798	34.06908	9/1/1993	MET_LA_EAST	10022	PST
DMR	Del Mar	open	2600 Via De La Valle	Suite 100		Del Mar	San Diego	CA	92014	Southern Pacific	USA	"San Diego-Carlsbad et al, CA"	-117.251408	32.980879	2/27/2013	MET_SD	10434	PST
ENC	Encinitas	open	S. Coast Hwy 101 at F Street			Encinitas	San Diego	CA	92024	Southern Pacific	USA	"San Diego-Carlsbad et al, CA"	-117.293235	33.043747	6/29/2011	MET_SD	10401	PST
FFX	Fairfax	open	6350 West 3rd Street			Los Angeles	Los Angeles	CA	90036	Southern Pacific	USA	"Los Angeles-Long Beach et al, CA"	-118.36057	34.070373	5/22/2002	MET_LA_EAST	10177	PST
GLN	Glendale	open	331 North Glendale Avenue			Glendale	Los Angeles	CA	91206	Southern Pacific	USA	"Los Angeles-Long Beach et al, CA"	-118.245876	34.150993	5/4/2004	MET_LA_EAST	10179	PST
HIL	Hillcrest	open	711 University Avenue			San Diego	San Diego	CA	92103	Southern Pacific	USA	"San Diego-Carlsbad et al, CA"	-117.157991	32.747833	4/9/1997	MET_SD	10072	PST
HOL	West Hollywood	open	7871 West Santa Monica Blvd.			Los Angeles	Los Angeles	CA	90046	Southern Pacific	USA	"Los Angeles-Long Beach et al, CA"	-118.360767	34.091753	2/16/2000	MET_LA_EAST	10109	PST
HTB	Huntington Beach	open	7881 Edinger Ave Suite 150			Huntington Beach	Orange	CA	92647	Southern Pacific	USA	"Los Angeles-Long Beach et al, CA"	-117.991344	33.731515	10/13/2010	MET_OC	10399	PST
JAM	Jamboree	open	2847 Park Avenue			Tustin	Orange	CA	92782	Southern Pacific	USA	"Los Angeles-Long Beach et al, CA"	-117.8256	33.6963	8/29/2007	MET_OC	10231	PST
LAG	Laguna Beach	open	283 Broadway St			Laguna Beach	Orange	CA	92651	Southern Pacific	USA	"Los Angeles-Long Beach et al, CA"	-117.783815	33.543856	9/28/2007	MET_OC	10406	PST
LAJ	La Jolla	open	8825 Villa La Jolla Drive			La Jolla	San Diego	CA	92037	Southern Pacific	USA	"San Diego-Carlsbad et al, CA"	-117.230611	32.868764	11/13/1996	MET_SD	10066	PST
LBC	Long Beach	open	6550 E Pacific Coast Hwy			Long Beach	Los Angeles	CA	90803	Southern Pacific	USA	"Los Angeles-Long Beach et al, CA"	-118.109353	33.754896	9/28/2007	MET_OC	10442	PST
LGN	Laguna Niguel	open	23932 Aliso Creek			Laguna Niguel	Orange	CA	92677	Southern Pacific	USA	"Los Angeles-Long Beach et al, CA"	-117.712656	33.555026	5/16/2012	MET_OC	10437	PST
MON	Montana Avenue	open	1425 Montana Ave			Santa Monica	Los Angeles	CA	90402	Southern Pacific	USA	"Los Angeles-Long Beach et al, CA"	-118.4947	34.0328	9/28/2007	MET_LA_WEST	10398	PST
NPT	Newport Beach	open	415 Newport Center Drive			Newport Beach	Orange	CA	92660	Southern Pacific	USA	"Los Angeles-Long Beach et al, CA"	-117.874918	33.616366	9/19/2012	MET_OC	10468	PST
OKS	Thousand Oaks	open	740 N. Moorpark Rd			Thousand Oaks	Ventura	CA	91360	Southern Pacific	USA	"Oxnard-Thousand Oaks-Ventura, CA"	-118.873257	34.187709	3/9/2005	MET_LA_WEST	10204	PST
OXN	Oxnard	open	650 Town Center Drive			Oxnard	Ventura	CA	93036	Southern Pacific	USA	"Oxnard-Thousand Oaks-Ventura, CA"	-119.176455	34.243633	6/19/2013	MET_LA_WEST	10318	PST
PAS	Pasadena	open	3751 East Foothill Blvd			Pasadena	Los Angeles	CA	91107	Southern Pacific	USA	"Los Angeles-Long Beach et al, CA"	-118.072662	34.151096	5/5/1999	MET_LA_EAST	10108	PST
PCH	Pacifc Coast Highway	open	760 S. Sepulveda Blvd			El Segundo	Los Angeles	CA	90245	Southern Pacific	USA	"Los Angeles-Long Beach et al, CA"	-118.394404	33.903671	4/26/2007	MET_OC	10225	PST
PTR	Porter Ranch	open	19340 Rinaldi Street			Northridge	Los Angeles	CA	91326	Southern Pacific	USA	"Los Angeles-Long Beach et al, CA"	-118.554934	34.27336	11/1/2001	MET_LA_WEST	10175	PST
RDB	Redondo Beach	open	405 N. Pacific Coast Hwy			Redondo Beach	Los Angeles	CA	90277	Southern Pacific	USA	"Los Angeles-Long Beach et al, CA"	-118.389355	33.847366	9/1/1993	MET_OC	10024	PST
SBR	Santa Barbara	open	3761 State St			Santa Barbara	Santa Barbara	CA	93105	Southern Pacific	USA	"Santa Barbara et al, CA"	-119.744991	34.43996	10/7/2009	MET_LA_WEST	10255	PST
SHO	Sherman Oaks	open	12905 Riverside Drive			Sherman Oaks	Los Angeles	CA	91423	Southern Pacific	USA	"Los Angeles-Long Beach et al, CA"	-118.414101	34.157986	9/1/1993	MET_LA_EAST	10020	PST
SHW	Sherman Oaks West	open	4520 Sepulveda Boulevard			Sherman Oaks	Los Angeles	CA	91403	Southern Pacific	USA	"Los Angeles-Long Beach et al, CA"	-118.466601	34.151881	1/17/1996	MET_LA_EAST	10038	PST
SLO	San Luis Obispo	open	1531 Froom Ranch Way			San Luis Obispo	San Luis Obispo	CA	93405	Southern Pacific	USA	"San Luis Obispo-Paso Robles, CA"	-120.687432	35.250638	4/24/2014	MET_LA_WEST	10584	PST
SMC	Santa Monica	open	2201 Wilshire Blvd			Santa Monica	Los Angeles	CA	90403	Southern Pacific	USA	"Los Angeles-Long Beach et al, CA"	-118.481209	34.033353	7/16/2003	MET_LA_WEST	10173	PST
TOR	Torrance	open	2655 Pacific Coast Highway			Torrance	Los Angeles	CA	90505	Southern Pacific	USA	"Los Angeles-Long Beach et al, CA"	-118.330984	33.792447	9/22/1999	MET_OC	10105	PST
TRZ	Tarzana	open	Ventura Blvd & Yolana Av			Tarzana	Los Angeles	CA	91356	Southern Pacific	USA	"Los Angeles-Long Beach et al, CA"	-118.541734	34.16988	5/12/2010	MET_LA_WEST	10282	PST
VAL	Valencia	open	24130 Valencia Blvd			Valencia	Los Angeles	CA	91355	Southern Pacific	USA	"Los Angeles-Long Beach et al, CA"	-118.555862	34.41244	8/25/2004	MET_LA_EAST	10178	PST
VEN	Venice	open	225 Lincoln Blvd.			Venice	Los Angeles	CA	90291	Southern Pacific	USA	"Los Angeles-Long Beach et al, CA"	-118.46977	34.001301	9/3/2008	MET_LA_WEST	10333	PST
WDH	Woodland Hills	open	21347 Ventura Blvd			Woodland Hills	Los Angeles	CA	91367	Southern Pacific	USA	"Los Angeles-Long Beach et al, CA"	-118.596933	34.168227	10/27/1999	MET_LA_WEST	10099	PST
WLA	West LA	open	11666 National Boulevard			Los Angeles	Los Angeles	CA	90066	Southern Pacific	USA	"Los Angeles-Long Beach et al, CA"	-118.438023	34.022596	7/23/1996	MET_LA_WEST	10045	PST
WLB	Wilshire Blvd	open	500 Wilshire Blvd			Santa Monica	Los Angeles	CA	90401	Southern Pacific	USA	"Los Angeles-Long Beach et al, CA"	-118.49687	34.01979	9/28/2007	MET_LA_WEST	10383	PST
WWD	Westwood	open	1050 S. Gayley			Westwood	Los Angeles	CA	90024	Southern Pacific	USA	"Los Angeles-Long Beach et al, CA"	-118.446981	34.061192	2/5/2003	MET_LA_EAST	10176	PST
KAO	Kailua Oahu	open	629 Kailua Rd.			Kailua	Honolulu	HI	96734	Southern Pacific	USA	"Honolulu, HI"	-157.743038	21.393653	4/18/2012	MET_HI	10368	HST
KMO	Kahala Mall Oahu	open	4211 Wai'alae Ave. Suite 2000			Honolulu	Honolulu	HI	96816	Southern Pacific	USA	"Honolulu, HI"	-157.7863	21.277556	9/10/2008	MET_HI	10363	HST
MMM	Maui Mall Maui	open	70 Kaahumanu Ave #B			Kahalui	Maui	HI	96732	Southern Pacific	USA	"Kahului-Wailuku, HI"	-156.464368	20.891489	2/24/2010	MET_HI	10374	HST
FTA	Ft. Apache	open	8855 West Charleston Blvd.			Las Vegas	Clark	NV	89117	Southern Pacific	USA	"Las Vegas-Paradise, NV"	-115.289435	36.157721	8/27/2003	MET_NV	10174	PST
HEN	Henderson	open	100 S. Green Valley Parkway			Henderson	Clark	NV	89012	Southern Pacific	USA	"Las Vegas-Paradise, NV"	-115.081346	36.022326	4/5/2006	MET_NV	10219	PST
LVB	Las Vegas Boulevard	open	6689 Las Vegas Blvd. South			Las Vegas	Clark	NV	89119	Southern Pacific	USA	"Las Vegas-Paradise, NV"	-115.176408	36.067844	10/8/2008	MET_NV	10286	PST
TYA	Tenaya	open	7250 W Lake Mead Blvd			Las Vegas	Clark	NV	89128	Southern Pacific	USA	"Las Vegas-Paradise, NV"	-115.250074	36.19757	9/28/2007	MET_NV	10424	PST
LTR	Little Rock	open	10700 N Rodney Parham Rd			Little Rock	Pulaski	AR	72212	Southwest	USA	"Little Rock et al, AR"	-92.391851	34.771726	9/28/2007	MET_LR	10296	CST
ABS	Arabella Station	open	5600 Magazine Street			New Orleans	Orleans	LA	70115	Southwest	USA	"New Orleans-Metairie-Kenner, LA"	-90.117495	29.921124	12/4/2002	MET_NO	10143	CST
BDS	New Orleans	open	30 N. Broad Street	Ste 103		New Orleans	Orleans	LA	70119	Southwest	USA	"New Orleans-Metairie-Kenner, LA"	-90.084799	29.9672	2/4/2014	MET_NO	10522	CST
BTR	Baton Rouge	open	7529 Corporate Blvd			Baton Rouge	East Baton Rouge	LA	70809	Southwest	USA	"Baton Rouge, LA"	-91.111903	30.431616	7/20/2005	MET_BR	10198	CST
VET	Veterans	open	3420 Veterans Highway			New Orleans	Jefferson	LA	70002	Southwest	USA	"New Orleans-Metairie-Kenner, LA"	-90.158701	30.002742	5/18/2005	MET_NO	10202	CST
OKC	Oklahoma City	open	6001 N. Western Ave			Oklahoma City	Oklahoma	OK	73118	Southwest	USA	"Oklahoma City, OK"	-97.530704	35.533641	10/12/2011	MET_OK	10376	CST
TLS	Tulsa	open	1401 E 41st St			Tulsa	Tulsa	OK	74105	Southwest	USA	"Tulsa, OK"	-95.973538	36.104783	9/28/2007	MET_OK	10304	CST
YLE	Yale	open	9136 South Yale Avenue			Tulsa	Tulsa	OK	74137	Southwest	USA	"Tulsa, OK"	-95.923709	36.031001	11/19/2013	MET_OK	10472	CST
ABT	Arbor Trails	open	4301 W William Cannon			Austin	Travis	TX	78749	Southwest	USA	"Austin-Round Rock, TX"	-97.841947	30.220346	6/19/2012	MET_AUS	10384	CST
ADN	Addison	open	5100 Belt Line Road	Suite 1012		Dallas	Dallas	TX	75254	Southwest	USA	"Dallas-Fort Worth-Arlington, TX"	-96.821337	32.953654	7/16/2013	MET_DFW	10473	CST
BEE	Bee Cave	open	12601 Hill Country Blvd			Austin	Travis	TX	78738	Southwest	USA	"Austin-Round Rock, TX"	-97.937572	30.307525	5/16/2012	MET_AUS	10393	CST
BEL	Bellaire	open	4004 Bellaire Blvd.			Houston	Harris	TX	77005	Southwest	USA	"Houston-Sugar Land-Baytown, TX"	-95.441761	29.706994	12/14/2000	MET_HOU	10134	CST
CMP	Champions	open	10133 Louetta Road			Houston	Harris	TX	77070	Southwest	USA	"Houston-Sugar Land-Baytown, TX"	-95.56244	29.998897	6/25/2014	MET_HOU	10497	CST
DOM	Domain	open	11920 Domain Drive			Austin	Travis	TX	78759	Southwest	USA	"Austin-Round Rock, TX"	-97.720906	30.406029	1/15/2014	MET_AUS	10316	CST
FST	Preston Forest	open	11700 Preston Rd.			Dallas	Dallas	TX	75230	Southwest	USA	"Dallas-Fort Worth-Arlington, TX"	-96.803062	32.907312	12/6/2006	MET_DFW	10227	CST
FVW	Fairview	open	105 Stacy Rd			Fairview	Collin	TX	75069	Southwest	USA	"Dallas-Fort Worth-Arlington, TX"	-96.655905	33.130751	11/3/2010	MET_DFW	10358	CST
GWY	Gateway	open	9607 Research Blvd. #300			Austin	Travis	TX	78759	Southwest	USA	"Austin-Round Rock, TX"	-97.74102	30.38861	5/31/1995	MET_AUS	10036	CST
HPK	Highland Park	open	4100 Lomo Alto Drive			Highland Park	Dallas	TX	75219	Southwest	USA	"Dallas-Fort Worth-Arlington, TX"	-96.81471	32.82044	6/12/2002	MET_DFW	10140	CST
KIR	Kirby	open	2955 Kirby Dr			Houston	Harris	TX	77098	Southwest	USA	"Houston-Sugar Land-Baytown, TX"	-95.418147	29.739315	5/17/2000	MET_HOU	10115	CST
KTY	Katy	open	6601 S. Fry Road			Katy	Fort Bend	TX	77494	Southwest	USA	"Houston-Sugar Land-Baytown, TX"	-95.771624	29.712757	1/30/2013	MET_HOU	10474	CST
LCC	Lamar Culinary Center	open	525 N. Lamar Blvd.			Austin	Travis	TX	78703	Southwest	USA	"Austin-Round Rock, TX"	-97.753318	30.270947	3/3/2005	MET_AUS	10270	CST
LKW	Lakewood	open	2118 Abrams Rd.			Dallas	Dallas	TX	75214	Southwest	USA	"Dallas-Fort Worth-Arlington, TX"	-96.751932	32.815799	3/2/2009	MET_DFW	10283	CST
LMR	Lamar	open	525 N Lamar			Austin	Travis	TX	78703	Southwest	USA	"Austin-Round Rock, TX"	-97.753805	30.270788	3/3/2005	MET_AUS	10145	CST
LSC	Las Cimas Cafe	open	807 Las Cimas Pkwy.			Austin	Travis	TX	78746	Southwest	USA	"Austin-Round Rock, TX"	-97.829016	30.288673	1/14/2013	MET_AUS	10502	CST
MTS	Montrose	open	701 Waugh Drive			Houston	Harris	TX	77019	Southwest	USA	"Houston-Sugar Land-Baytown, TX"	-95.397559	29.758033	6/22/2011	MET_HOU	10346	CST
PKL	Park Lane	open	8180 Park Lane			Dallas	Dallas	TX	75231	Southwest	USA	"Dallas-Fort Worth-Arlington, TX"	-96.767962	32.867246	3/15/2010	MET_DFW	10239	CST
PKY	Parkway	open	801 East Lamar			Arlington	Tarrant	TX	76011	Southwest	USA	"Dallas-Fort Worth-Arlington, TX"	-97.098904	32.766919	8/11/1999	MET_DFW	10098	CST
PLN	Plano	open	2201 Preston Rd.			Plano	Collin	TX	75093	Southwest	USA	"Dallas-Fort Worth-Arlington, TX"	-96.79681	33.029636	11/2/1994	MET_DFW	10030	CST
QRY	Quarry	open	255 E. Basse Road	Suite 130		San Antonio	Bexar	TX	78209	Southwest	USA	"San Antonio, TX"	-98.480574	29.493296	10/29/1997	MET_SA	10075	CST
SGL	Sugarland	open	15900 Southwest Freeway			Sugarland	Fort Bend	TX	77478	Southwest	USA	"Houston-Sugar Land-Baytown, TX"	-95.623042	29.599876	12/5/2007	MET_HOU	10258	CST
VND	San Antonio (Vineyard)	open	18403 Blanco Road			San Antonio	Bexar	TX	78258	Southwest	USA	"San Antonio, TX"	-98.511283	29.613281	9/19/2012	MET_SA	10444	CST
WIL	Wilcrest	open	11145 Westheimer Road			Houston	Harris	TX	77042	Southwest	USA	"Houston-Sugar Land-Baytown, TX"	-95.572793	29.734718	9/1/1991	MET_HOU	10007	CST
WWY	Woodway	open	6401 Woodway #149			Houston	Harris	TX	77057	Southwest	USA	"Houston-Sugar Land-Baytown, TX"	-95.498819	29.754716	10/21/1993	MET_HOU	10025	CST
